timestamp,step,total_steps,consumed_samples,elapsed_ms,learning_rate,global_batch_size,lm_loss,loss_scale,grad_norm,skipped_iterations,nan_iterations,step_time_s,tflops_per_gpu,step_time_source,progress,epoch,samples_per_sec,tokens_per_sec,tokens_per_sec_per_gpu,perplexity,is_checkpoint_step,status,lm_loss_rolling_mean,step_time_rolling_mean_s
2026-08-27 12:05:46,142,276,1136,23486.1,5.526474e-05,8,0.3110973,1.0,0.165,0,0,23.49,476.6,Step Time,0.5144927536231884,1.030852994555354,0.34057045551298426,33479.438058748405,4184.929757343551,1.36492202163802,False,,0.47587212,27.627999999999997
2026-08-27 12:06:10,143,276,1144,23655.5,5.473526e-05,8,0.5195819,1.0,0.192,0,0,23.66,473.2,Step Time,0.5181159420289855,1.0381125226860255,0.33812341504649196,33238.884192730344,4154.860524091293,1.681324540933677,False,,0.50065662,27.660000000000004
2026-08-27 12:06:34,144,276,1152,23686.6,5.420582e-05,8,0.488086,1.0,0.663,0,0,23.69,472.6,Step Time,0.5217391304347826,1.0453720508166968,0.33769523005487545,33196.791895314476,4149.5989869143095,1.6291949547140894,False,,0.49787274000000004,26.912
2026-08-27 12:06:58,145,276,1160,24322.5,5.367649e-05,8,0.3731047,1.0,0.346,0,0,24.32,460.2,Step Time,0.5253623188405797,1.0526315789473684,0.32894736842105265,32336.842105263157,4042.1052631578946,1.452236381022373,False,,0.48424269999999997,27.005000000000003
2026-08-27 12:07:21,146,276,1168,23426.4,5.314734e-05,8,0.3770918,1.0,0.206,0,0,23.43,477.8,Step Time,0.5289855072463768,1.05989110707804,0.3414425949637217,33565.1728553137,4195.6466069142125,1.4580381511300688,False,,0.45188415,25.811
2026-08-27 12:07:45,147,276,1176,24026.9,5.261844e-05,8,0.5021806,1.0,785.36,0,0,24.03,465.9,Step Time,0.532608695652174,1.0671506352087115,0.3329171868497711,32727.0911360799,4090.8863920099875,1.6523203950020855,False,grad_norm_spike,0.46074778,24.409
2026-08-27 12:08:08,148,276,1184,23186.0,5.208988e-05,8,0.3691852,1.0,0.17,0,0,23.19,482.8,Step Time,0.5362318840579711,1.074410163339383,0.34497628288055193,33912.54851228978,4239.068564036223,1.4465554809436096,False,,0.45968071000000005,23.705000000000002
2026-08-27 12:08:33,149,276,1192,24354.3,5.156172e-05,8,0.3686273,1.0,0.167,0,0,24.35,459.6,Step Time,0.5398550724637681,1.0816696914700545,0.32854209445585214,32297.00205338809,4037.125256673511,1.4457486727208717,False,,0.4622171,23.799
2026-08-27 12:08:58,150,276,1200,24741.1,5.103404e-05,8,0.3296952,1.0,0.135,0,0,24.74,452.4,Step Time,0.5434782608695652,1.0889292196007259,0.32336297493936944,31787.873888439775,3973.484236054972,1.3905442259842442,False,,0.46127114,23.926
2026-08-27 12:09:21,151,276,1208,23432.2,5.05069e-05,8,0.4471418,1.0,0.157,0,0,23.43,477.7,Step Time,0.5471014492753623,1.0961887477313974,0.3414425949637217,33565.1728553137,4195.6466069142125,1.5638360355147838,False,,0.40857918,23.833000000000002
2026-08-27 12:09:46,152,276,1216,25140.6,4.998039e-05,8,0.499048,1.0,0.148,0,0,25.14,445.3,Step Time,0.5507246376811594,1.103448275862069,0.31821797931583135,31282.100238663483,3910.2625298329353,1.6471524349347328,False,,0.42737425,23.998
2026-08-27 12:10:10,153,276,1224,23392.3,4.945457e-05,8,0.3978209,1.0,0.122,0,0,23.39,478.5,Step Time,0.5543478260869565,1.1107078039927405,0.3420265070542967,33622.573749465584,4202.821718683198,1.4885774018187792,False,,0.41519815,23.971
2026-08-27 12:10:33,154,276,1232,23225.3,4.892952e-05,8,0.4138929,1.0,0.176,0,0,23.23,482.0,Step Time,0.5579710144927537,1.117967332123412,0.34438226431338786,33854.15411106328,4231.76926388291,1.5126951085623412,False,,0.40777884000000003,23.925
2026-08-27 12:10:56,155,276,1240,23545.6,4.840531e-05,8,0.4913797,1.0,0.435,0,0,23.55,475.4,Step Time,0.5615942028985508,1.1252268602540836,0.33970276008492567,33394.140127388535,4174.267515923567,1.634569880974605,False,,0.41960633999999997,23.848000000000003
2026-08-27 12:11:21,156,276,1248,24328.0,4.788201e-05,8,0.3865438,1.0,0.141,0,0,24.33,460.1,Step Time,0.5652173913043478,1.132486388384755,0.3288121660501439,32323.551171393345,4040.443896424168,1.4718848642115974,False,,0.42055153999999995,23.938
2026-08-27 12:11:45,157,276,1256,24513.8,4.73597e-05,8,0.4874806,1.0,0.152,0,0,24.51,456.6,Step Time,0.5688405797101449,1.1397459165154264,0.3263973888208894,32086.168910648714,4010.771113831089,1.6282089385857028,False,,0.41908154,23.986
2026-08-27 12:12:09,158,276,1264,23822.7,4.683845e-05,8,0.4046064,1.0,0.189,0,0,23.82,469.9,Step Time,0.572463768115942,1.147005444646098,0.33585222502099077,33015.61712846348,4126.952141057935,1.4987124907142002,False,,0.42262366,24.049
2026-08-27 12:12:34,159,276,1272,25514.0,4.631833e-05,8,0.3778814,1.0,0.391,0,0,25.51,438.7,Step Time,0.5760869565217391,1.1542649727767695,0.31360250882007057,30828.381027048214,3853.5476283810267,1.4591898726940362,False,,0.42354906999999997,24.165
2026-08-27 12:12:59,160,276,1280,24778.1,4.579941e-05,8,0.3496641,1.0,0.129,0,0,24.78,451.8,Step Time,0.5797101449275363,1.161524500907441,0.3228410008071025,31736.561743341405,3967.0702179176756,1.4185909638505734,False,,0.42554596,24.169
